"Name","Live Bytes","Live Objects"
"java.lang.Object[]","320,437,464 B (31.3%)","342,025 (3.8%)"
"byte[]","226,392,048 B (22.1%)","1,779,858 (19.9%)"
"int[]","131,479,864 B (12.8%)","1,044,461 (11.7%)"
"jdk.internal.vm.FillerElement[]","94,563,864 B (9.2%)","57,101 (0.6%)"
"java.lang.String","28,198,368 B (2.8%)","1,174,932 (13.1%)"
"java.util.concurrent.ConcurrentHashMap$Node","26,463,520 B (2.6%)","826,985 (9.2%)"
"double[]","19,163,864 B (1.9%)","8,460 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","13,221,344 B (1.3%)","104,827 (1.2%)"
"long[]","11,126,880 B (1.1%)","20,763 (0.2%)"
"char[]","8,421,616 B (0.8%)","68,185 (0.8%)"
"java.util.concurrent.ConcurrentHashMap","7,526,464 B (0.7%)","117,601 (1.3%)"
"java.util.HashMap$Node","7,176,896 B (0.7%)","224,278 (2.5%)"
"java.util.LinkedHashMap$Entry","6,238,800 B (0.6%)","155,970 (1.7%)"
"net.i2p.util.OrderedProperties","5,638,528 B (0.6%)","100,688 (1.1%)"
"net.i2p.stat.Rate","5,062,656 B (0.5%)","52,736 (0.6%)"
"float[]","4,737,952 B (0.5%)","21,832 (0.2%)"
"int[][]","4,048,080 B (0.4%)","55,551 (0.6%)"
"net.i2p.util.SyntheticREDQueue","3,862,584 B (0.4%)","43,893 (0.5%)"
"java.util.HashMap$Node[]","3,861,752 B (0.4%)","21,676 (0.2%)"
"net.i2p.router.tunnel.HopConfig","3,484,544 B (0.3%)","54,446 (0.6%)"
"net.i2p.crypto.eddsa.math.ed25519.Ed25519FieldElement","3,478,320 B (0.3%)","144,930 (1.6%)"
"net.i2p.data.router.RouterAddress","2,993,360 B (0.3%)","74,834 (0.8%)"
"net.i2p.data.SessionKey","2,708,136 B (0.3%)","112,839 (1.3%)"
"java.lang.StringBuilder","2,446,608 B (0.2%)","101,942 (1.1%)"
"net.i2p.data.TunnelId","2,443,200 B (0.2%)","101,800 (1.1%)"
"net.i2p.data.router.RouterInfo","2,068,000 B (0.2%)","25,850 (0.3%)"
"java.util.TreeMap$Entry","2,016,920 B (0.2%)","50,423 (0.6%)"
"net.i2p.router.util.CoDelBlockingQueue","1,963,392 B (0.2%)","15,339 (0.2%)"
"java.text.DecimalFormat","1,819,152 B (0.2%)","12,633 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$EntrySetView","1,636,128 B (0.2%)","102,258 (1.1%)"
"java.util.ArrayList","1,602,504 B (0.2%)","66,771 (0.7%)"
"java.util.HashMap","1,442,688 B (0.1%)","30,056 (0.3%)"
"java.lang.String[]","1,433,888 B (0.1%)","22,643 (0.3%)"
"java.time.LocalDateTime","1,407,696 B (0.1%)","58,654 (0.7%)"
"java.util.concurrent.locks.ReentrantLock$NonfairSync","1,322,528 B (0.1%)","41,329 (0.5%)"
"net.i2p.data.Hash","1,298,640 B (0.1%)","54,110 (0.6%)"
"java.text.DecimalFormatSymbols","1,284,096 B (0.1%)","14,592 (0.2%)"
"net.i2p.router.transport.udp.PeerState2","1,236,672 B (0.1%)","2,712 (0%)"
"net.i2p.router.tunnel.ThrottledPumpedTunnelGateway","1,226,960 B (0.1%)","15,337 (0.2%)"
"java.lang.ref.WeakReference","1,214,592 B (0.1%)","37,956 (0.4%)"
"java.lang.Long","1,199,688 B (0.1%)","49,987 (0.6%)"
"net.i2p.data.router.RouterIdentity","1,055,680 B (0.1%)","26,392 (0.3%)"
"net.i2p.router.tunnel.TunnelParticipant","1,034,064 B (0.1%)","21,543 (0.2%)"
"java.lang.Class","1,011,928 B (0.1%)","8,253 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","969,888 B (0.1%)","60,618 (0.7%)"
"net.i2p.router.tunnel.HopProcessor","913,664 B (0.1%)","28,552 (0.3%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","881,640 B (0.1%)","36,735 (0.4%)"
"net.i2p.crypto.eddsa.math.GroupElement","805,248 B (0.1%)","16,776 (0.2%)"
"java.time.LocalDate","794,832 B (0.1%)","33,118 (0.4%)"
"net.i2p.router.tunnel.TunnelGateway$DelayedFlush","758,784 B (0.1%)","15,808 (0.2%)"
"net.i2p.router.tunnel.BatchedRouterPreprocessor","758,784 B (0.1%)","15,808 (0.2%)"
"net.i2p.data.PublicKey","747,792 B (0.1%)","31,158 (0.3%)"
"net.i2p.router.transport.CommSystemFacadeImpl$CacheEntry","746,272 B (0.1%)","23,321 (0.3%)"
"java.lang.Object","744,816 B (0.1%)","46,551 (0.5%)"
"sun.awt.image.IntegerInterleavedRaster","741,728 B (0.1%)","7,132 (0.1%)"
"java.nio.ByteBuffer[]","732,744 B (0.1%)","382 (0%)"
"net.i2p.data.SigningPublicKey","710,112 B (0.1%)","29,588 (0.3%)"
"java.util.regex.Matcher","667,680 B (0.1%)","8,346 (0.1%)"
"java.util.concurrent.locks.ReentrantLock","661,648 B (0.1%)","41,353 (0.5%)"
"java.lang.Integer","649,232 B (0.1%)","40,577 (0.5%)"
"net.i2p.data.Signature","635,352 B (0.1%)","26,473 (0.3%)"
"sun.awt.image.BufImgSurfaceData","627,528 B (0.1%)","7,131 (0.1%)"
"net.i2p.router.peermanager.PeerProfile","620,928 B (0.1%)","3,696 (0%)"
"net.i2p.router.JobTiming","618,240 B (0.1%)","15,456 (0.2%)"
"java.lang.StringBuffer","617,600 B (0.1%)","19,300 (0.2%)"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask","595,656 B (0.1%)","8,273 (0.1%)"
"java.util.TreeMap$KeyIterator","592,544 B (0.1%)","18,517 (0.2%)"
"net.i2p.crypto.CryptixAESKeyCache$KeyCacheEntry","580,824 B (0.1%)","24,201 (0.3%)"
"net.i2p.stat.RateStat","566,304 B (0.1%)","17,697 (0.2%)"
"net.i2p.stat.Rate[]","563,608 B (0.1%)","17,697 (0.2%)"
"java.awt.Rectangle","516,640 B (0.1%)","16,145 (0.2%)"
"java.text.DigitList","505,320 B (0%)","12,633 (0.1%)"
"net.i2p.router.tunnel.InboundGatewayProcessor","490,784 B (0%)","15,337 (0.2%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","486,112 B (0%)","15,191 (0.2%)"
"net.i2p.router.transport.ntcp.NTCPConnection","479,232 B (0%)","1,664 (0%)"
"java.util.concurrent.LinkedBlockingQueue$Node","459,552 B (0%)","19,148 (0.2%)"
"sun.nio.fs.UnixPath","440,096 B (0%)","13,753 (0.2%)"
"com.southernstorm.noise.protocol.ChaChaPolyCipherState","436,896 B (0%)","9,102 (0.1%)"
"java.util.concurrent.atomic.AtomicLong","423,936 B (0%)","17,664 (0.2%)"
"net.i2p.router.util.DecayingHashSet$ArrayWrapper","422,040 B (0%)","17,585 (0.2%)"
"net.i2p.router.tunnel.OutboundTunnelEndpoint","419,496 B (0%)","7,491 (0.1%)"
"net.i2p.router.transport.udp.OutboundMessageState","417,144 B (0%)","4,011 (0%)"
"net.i2p.router.tunnel.pool.PooledTunnelCreatorConfig","415,296 B (0%)","2,884 (0%)"
"net.i2p.crypto.EncType[]","400,208 B (0%)","3 (0%)"
"sun.nio.fs.UnixFileAttributes","394,944 B (0%)","2,904 (0%)"
"net.i2p.router.OutNetMessage","380,280 B (0%)","3,169 (0%)"
"net.i2p.router.tunnel.InboundGatewayReceiver","368,088 B (0%)","15,337 (0.2%)"
"com.southernstorm.noise.crypto.Poly1305","364,080 B (0%)","9,102 (0.1%)"
"net.i2p.router.tunnel.OutboundMessageDistributor","359,568 B (0%)","7,491 (0.1%)"
"net.i2p.router.peermanager.TunnelHistory","354,816 B (0%)","3,696 (0%)"
"net.i2p.router.Banlist$Entry","351,520 B (0%)","10,985 (0.1%)"
"java.awt.image.SinglePixelPackedSampleModel","342,384 B (0%)","7,133 (0.1%)"
"java.awt.image.DataBufferInt","342,336 B (0%)","7,132 (0.1%)"
"java.awt.geom.AffineTransform","320,904 B (0%)","4,457 (0%)"
"net.i2p.router.tunnel.FragmentHandler","318,920 B (0%)","7,973 (0.1%)"
"java.awt.image.BufferedImage","285,240 B (0%)","7,131 (0.1%)"
"java.util.Hashtable$Entry","284,832 B (0%)","8,901 (0.1%)"
"boolean[]","282,968 B (0%)","6,285 (0.1%)"
"net.i2p.router.util.PriBlockingQueue","280,064 B (0%)","4,376 (0%)"
"java.net.InetAddress$InetAddressHolder","262,848 B (0%)","8,214 (0.1%)"
"net.i2p.router.networkdb.kademlia.IterativeTimeoutJob","261,216 B (0%)","5,442 (0.1%)"
"java.util.GregorianCalendar","248,416 B (0%)","2,218 (0%)"
"sun.java2d.pipe.AlphaPaintPipe$TileContext","245,568 B (0%)","5,116 (0.1%)"
"net.i2p.router.tunnel.InboundSender","245,392 B (0%)","15,337 (0.2%)"
"java.time.LocalDateTime[]","243,496 B (0%)","556 (0%)"
"java.net.URI","242,400 B (0%)","3,030 (0%)"
"sun.java2d.DefaultDisposerRecord","228,512 B (0%)","7,141 (0.1%)"
"java.lang.ref.PhantomReference","228,512 B (0%)","7,141 (0.1%)"
"net.i2p.router.transport.udp.SSU2Bitfield","223,720 B (0%)","5,593 (0.1%)"
"sun.util.calendar.Gregorian$Date","213,312 B (0%)","2,222 (0%)"
"java.lang.ref.SoftReference","210,160 B (0%)","5,254 (0.1%)"
"sun.nio.ch.SocketChannelImpl","209,664 B (0%)","1,872 (0%)"
"sun.font.TrueTypeFont$DirectoryEntry","209,472 B (0%)","8,728 (0.1%)"
"java.util.TreeMap","209,088 B (0%)","4,356 (0%)"
"byte[][]","201,560 B (0%)","6,321 (0.1%)"
"java.net.Inet4Address","196,992 B (0%)","8,208 (0.1%)"
"java.util.HashSet","194,240 B (0%)","12,140 (0.1%)"
"org.rrd4j.core.RrdDouble","186,120 B (0%)","4,653 (0.1%)"
"net.i2p.router.tunnel.PendingGatewayMessage","183,024 B (0%)","2,542 (0%)"
"net.i2p.data.SessionKey[]","182,960 B (0%)","5,768 (0.1%)"
"java.awt.Point","175,224 B (0%)","7,301 (0.1%)"
"net.i2p.router.message.OutboundClientMessageOneShotJob","174,464 B (0%)","1,363 (0%)"
"sun.java2d.StateTrackableDelegate","171,216 B (0%)","7,134 (0.1%)"
"sun.util.calendar.ZoneInfo","167,048 B (0%)","2,983 (0%)"
"net.i2p.router.transport.udp.RemoteHostId","165,056 B (0%)","5,158 (0.1%)"
"java.lang.reflect.Method","159,280 B (0%)","1,810 (0%)"
"net.i2p.router.tunnel.pool.TestJob","157,632 B (0%)","1,642 (0%)"
"java.util.concurrent.atomic.AtomicBoolean","156,400 B (0%)","9,775 (0.1%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","155,016 B (0%)","6,459 (0.1%)"
"sun.font.FontStrikeDesc","154,120 B (0%)","3,853 (0%)"
"jdk.internal.math.FloatToDecimal","152,784 B (0%)","6,366 (0.1%)"
"java.time.ZoneOffset[]","148,952 B (0%)","1,148 (0%)"
"java.io.FileDescriptor","146,480 B (0%)","3,662 (0%)"
"java.text.DateFormatSymbols","142,208 B (0%)","2,222 (0%)"
"org.rrd4j.core.RrdLong","135,360 B (0%)","3,384 (0%)"
"java.util.regex.IntHashSet[]","133,536 B (0%)","8,346 (0.1%)"
"net.i2p.data.i2np.DatabaseStoreMessage","131,472 B (0%)","1,826 (0%)"
"net.i2p.util.NativeBigInteger","131,000 B (0%)","3,275 (0%)"
"sun.font.FontLineMetrics","130,344 B (0%)","5,431 (0.1%)"
"net.i2p.router.transport.udp.SimpleBandwidthEstimator","130,176 B (0%)","2,712 (0%)"
"net.i2p.router.transport.udp.PeerState2$ACKTimer","130,176 B (0%)","2,712 (0%)"
"net.i2p.data.Destination","122,880 B (0%)","3,072 (0%)"
"java.awt.ColorPaintContext","122,784 B (0%)","5,116 (0.1%)"
"java.text.SimpleDateFormat","120,320 B (0%)","1,880 (0%)"
"net.i2p.router.tunnel.OutboundTunnelEndpoint$DefragmentedHandler","119,856 B (0%)","7,491 (0.1%)"
"net.i2p.router.transport.ntcp.NTCPConnection$NTCP2ReadState","118,944 B (0%)","1,652 (0%)"
"java.util.Calendar$Builder","118,776 B (0%)","2,121 (0%)"
"java.util.HashMap$KeyIterator","117,536 B (0%)","3,673 (0%)"
"java.lang.management.ThreadInfo","116,272 B (0%)","1,118 (0%)"
"java.util.LinkedList$Node","115,176 B (0%)","4,799 (0.1%)"
"java.nio.DirectCharBufferS","112,896 B (0%)","2,016 (0%)"
"net.i2p.router.util.DecayingHashSet","111,360 B (0%)","1,392 (0%)"
"org.rrd4j.graph.Markers[]","110,880 B (0%)","2,310 (0%)"
"net.i2p.router.networkdb.kademlia.IterativeSearchJob","109,208 B (0%)","803 (0%)"
"org.eclipse.jetty.xml.XmlParser$Node","107,760 B (0%)","2,694 (0%)"
"java.util.LinkedList","107,136 B (0%)","3,348 (0%)"
"java.util.concurrent.RunnableScheduledFuture[]","105,112 B (0%)","32 (0%)"
"net.i2p.util.ConcurrentHashSet","104,608 B (0%)","6,538 (0.1%)"
"org.rrd4j.core.RrdInt","101,520 B (0%)","2,538 (0%)"
"java.awt.geom.Rectangle2D$Float","101,344 B (0%)","3,167 (0%)"
"java.awt.geom.Line2D$Float","101,344 B (0%)","3,167 (0%)"
"org.eclipse.jetty.http.HttpField","98,688 B (0%)","3,084 (0%)"
"java.lang.invoke.MemberName","96,432 B (0%)","2,009 (0%)"
"java.net.InetSocketAddress$InetSocketAddressHolder","96,216 B (0%)","4,009 (0%)"
"java.util.regex.Pattern","95,656 B (0%)","1,087 (0%)"
"sun.font.CoreMetrics","94,208 B (0%)","1,472 (0%)"
"java.util.Date","93,864 B (0%)","3,911 (0%)"
"java.net.URI$Parser","91,520 B (0%)","2,860 (0%)"
"net.i2p.router.tunnel.HopConfig[]","91,480 B (0%)","2,884 (0%)"
"net.i2p.data.Hash[]","91,480 B (0%)","2,884 (0%)"
"sun.nio.ch.SocketAdaptor","89,328 B (0%)","1,861 (0%)"
"java.util.Properties","89,320 B (0%)","1,595 (0%)"
"sun.nio.ch.SelectionKeyImpl","88,368 B (0%)","1,841 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","87,264 B (0%)","1,818 (0%)"
"java.awt.RenderingHints","87,072 B (0%)","5,442 (0.1%)"
"net.i2p.router.transport.udp.EstablishmentManager$Token","86,880 B (0%)","2,715 (0%)"
"net.i2p.router.util.CachedIteratorCollection","86,784 B (0%)","2,712 (0%)"
"jdk.internal.math.FormattedFPDecimal","86,000 B (0%)","2,150 (0%)"
"sun.java2d.pipe.ShapeSpanIterator","84,288 B (0%)","3,512 (0%)"
"java.util.concurrent.ConcurrentLinkedDeque$Node","83,760 B (0%)","3,490 (0%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","83,720 B (0%)","2,093 (0%)"
"sun.font.TrueTypeFont","83,448 B (0%)","549 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync","83,328 B (0%)","1,736 (0%)"
"java.io.SerialCallbackContext","81,624 B (0%)","3,401 (0%)"
"javax.management.openmbean.CompositeDataSupport","81,120 B (0%)","3,380 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue","80,976 B (0%)","3,374 (0%)"
"net.i2p.router.ClientMessage","76,328 B (0%)","1,363 (0%)"
"java.awt.geom.LineIterator","76,008 B (0%)","3,167 (0%)"
"java.util.Formatter$FormatSpecifier","74,880 B (0%)","2,340 (0%)"
"net.i2p.router.networkdb.kademlia.LookupThrottler$ReplyTunnel","72,432 B (0%)","3,018 (0%)"
"java.util.concurrent.CopyOnWriteArrayList","71,712 B (0%)","2,988 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","70,880 B (0%)","2,215 (0%)"
"sun.java2d.SunGraphics2D","69,680 B (0%)","335 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValueIterator","67,536 B (0%)","1,206 (0%)"
"java.util.TreeMap$KeySet","67,248 B (0%)","4,203 (0%)"
"javax.management.openmbean.CompositeData[]","67,056 B (0%)","3,356 (0%)"
"net.i2p.router.util.DecayingBloomFilter$DecayEvent","66,912 B (0%)","1,394 (0%)"
"java.util.Hashtable$Entry[]","66,824 B (0%)","258 (0%)"
"sun.nio.ch.FileChannelImpl","65,920 B (0%)","1,030 (0%)"
"net.i2p.router.util.CachedIteratorCollection$CachedIterator","65,088 B (0%)","2,712 (0%)"
"net.i2p.router.util.CoDelPriorityBlockingQueue","64,192 B (0%)","472 (0%)"
"java.net.InetSocketAddress","64,144 B (0%)","4,009 (0%)"
"net.i2p.data.LeaseSet2","63,360 B (0%)","495 (0%)"
"net.i2p.i2ptunnel.access.DestTracker","61,872 B (0%)","2,578 (0%)"
"java.awt.Font","60,984 B (0%)","847 (0%)"
"com.sun.imageio.plugins.png.PNGMetadata","60,912 B (0%)","162 (0%)"
"java.util.WeakHashMap$Entry[]","60,392 B (0%)","216 (0%)"
"org.jfree.svg.SVGGraphics2D","59,984 B (0%)","326 (0%)"
"sun.nio.ch.DummySocketImpl","59,744 B (0%)","1,867 (0%)"
"net.i2p.data.i2np.TunnelDataMessage","59,008 B (0%)","922 (0%)"
"net.i2p.router.peermanager.DBHistory","58,464 B (0%)","609 (0%)"
"java.lang.Class[]","58,432 B (0%)","2,171 (0%)"
"java.util.Formatter$FixedString","58,416 B (0%)","2,434 (0%)"
"java.util.regex.Pattern$GroupHead[]","57,288 B (0%)","1,023 (0%)"
"java.time.LocalTime","57,072 B (0%)","2,378 (0%)"
"java.lang.invoke.MethodType","57,040 B (0%)","1,426 (0%)"
"java.util.ImmutableCollections$List12","56,784 B (0%)","2,366 (0%)"
"jdk.internal.math.DoubleToDecimal","55,392 B (0%)","2,308 (0%)"
"java.util.LinkedHashMap","54,656 B (0%)","854 (0%)"
"java.util.TreeMap$EntrySet","54,592 B (0%)","3,412 (0%)"
"java.lang.StackTraceElement[]","53,584 B (0%)","2,239 (0%)"
"net.i2p.addressbook.HostChecker$PingResult","53,440 B (0%)","1,336 (0%)"
"net.i2p.router.tunnel.pool.ExpireJob","53,368 B (0%)","953 (0%)"
"java.lang.StackTraceElement","53,280 B (0%)","1,110 (0%)"
"sun.util.locale.provider.LocaleResources$ResourceReference","53,000 B (0%)","1,325 (0%)"
"net.i2p.data.PrivateKey","52,032 B (0%)","2,168 (0%)"
"java.awt.geom.Path2D$Double","51,872 B (0%)","1,621 (0%)"
"net.i2p.router.crypto.ratchet.RatchetSessionTag","51,672 B (0%)","2,153 (0%)"
"java.lang.Double","51,624 B (0%)","2,151 (0%)"
"java.util.Formatter","51,600 B (0%)","2,150 (0%)"
"net.i2p.data.Lease2","51,008 B (0%)","1,594 (0%)"
"org.rrd4j.core.RrdEnum","50,760 B (0%)","1,269 (0%)"
"org.rrd4j.core.RrdString","50,760 B (0%)","1,269 (0%)"
"jdk.internal.util.WeakReferenceKey","48,928 B (0%)","1,529 (0%)"
"java.nio.channels.SelectionKey[]","48,264 B (0%)","2,011 (0%)"
"org.rrd4j.core.Datasource","47,376 B (0%)","846 (0%)"
"java.awt.BasicStroke","46,000 B (0%)","1,150 (0%)"
"short[]","45,688 B (0%)","571 (0%)"
"net.i2p.data.i2np.ShortEncryptedBuildRecord","45,232 B (0%)","2,827 (0%)"
"org.rrd4j.graph.ImageParameters","45,152 B (0%)","332 (0%)"
"java.util.ArrayList$Itr","44,544 B (0%)","1,392 (0%)"
"sun.font.TrueTypeFont$DirectoryEntry[]","44,368 B (0%)","549 (0%)"
"net.i2p.router.transport.udp.PeerState$1","43,392 B (0%)","2,712 (0%)"
"java.nio.DirectByteBuffer","43,136 B (0%)","674 (0%)"
"org.eclipse.jetty.xml.XmlParser$Attribute[]","43,120 B (0%)","2,678 (0%)"
"org.rrd4j.data.VDef","43,008 B (0%)","1,344 (0%)"
"org.rrd4j.data.Variable$Value","42,400 B (0%)","1,325 (0%)"
"sun.font.FontConfigManager$FontConfigFont","42,272 B (0%)","1,321 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock","41,712 B (0%)","1,738 (0%)"
"java.util.Stack","41,632 B (0%)","1,301 (0%)"
"net.i2p.i2ptunnel.access.AccessCounter","41,248 B (0%)","2,578 (0%)"
"org.rrd4j.core.RrdDbPool$RrdEntry","40,320 B (0%)","1,008 (0%)"
"java.math.BigInteger[]","39,776 B (0%)","1,641 (0%)"
"java.lang.Thread","38,760 B (0%)","323 (0%)"
"net.i2p.router.networkdb.kademlia.FloodOnlyLookupMatchJob","38,544 B (0%)","803 (0%)"
"java.lang.invoke.ResolvedMethodName","36,624 B (0%)","1,526 (0%)"
"jdk.jfr.AnnotationElement","36,576 B (0%)","1,524 (0%)"
"net.i2p.data.i2cp.MessageId","35,832 B (0%)","1,493 (0%)"
"java.time.ZoneOffset","35,448 B (0%)","1,477 (0%)"
"org.rrd4j.graph.RrdGraphDef","35,360 B (0%)","170 (0%)"
"jdk.jfr.internal.AnnotationConstruct","35,232 B (0%)","1,468 (0%)"
"java.lang.ref.SoftReference[]","34,960 B (0%)","460 (0%)"
"java.lang.invoke.LambdaForm$Name","34,816 B (0%)","1,088 (0%)"
"sun.util.locale.BaseLocale","34,016 B (0%)","1,063 (0%)"
"java.nio.HeapCharBuffer","33,936 B (0%)","606 (0%)"
"net.i2p.router.tunnel.PumpedTunnelGateway","33,912 B (0%)","471 (0%)"
"org.eclipse.jetty.webapp.MetaData$OriginInfo","33,664 B (0%)","1,052 (0%)"
"net.i2p.data.i2np.ShortTunnelBuildMessage","33,552 B (0%)","699 (0%)"
"sun.util.locale.BaseLocale$Key","33,408 B (0%)","1,044 (0%)"
"net.i2p.router.networkdb.kademlia.FloodOnlyLookupTimeoutJob","33,360 B (0%)","834 (0%)"
"net.i2p.router.message.OutboundCache$HashPair","33,192 B (0%)","1,383 (0%)"
"java.util.concurrent.Executors$RunnableAdapter","32,976 B (0%)","1,374 (0%)"
"org.eclipse.jetty.http.HttpField[]","32,928 B (0%)","343 (0%)"
"net.i2p.data.Payload","32,688 B (0%)","1,362 (0%)"
"net.i2p.router.message.OutboundClientMessageOneShotJob$SendJob","32,560 B (0%)","814 (0%)"
"java.nio.file.LinkOption[]","32,320 B (0%)","2,019 (0%)"
"org.rrd4j.core.RrdDb$Builder","32,256 B (0%)","672 (0%)"
"java.awt.font.FontRenderContext","31,648 B (0%)","989 (0%)"
"java.util.regex.Pattern$Slice","31,608 B (0%)","1,317 (0%)"
"jdk.jfr.ValueDescriptor","31,200 B (0%)","780 (0%)"
"net.i2p.client.streaming.impl.Connection","31,080 B (0%)","105 (0%)"
"i2p.susi.dns.AddressBean","29,088 B (0%)","1,212 (0%)"
"java.lang.Thread$FieldHolder","28,200 B (0%)","705 (0%)"
"java.util.concurrent.ConcurrentLinkedDeque","27,888 B (0%)","1,162 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","27,824 B (0%)","1,739 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","27,824 B (0%)","1,739 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","27,824 B (0%)","1,739 (0%)"
"org.rrd4j.graph.PrintText","27,520 B (0%)","688 (0%)"
"org.rrd4j.core.RobinMatrix","27,072 B (0%)","846 (0%)"
"org.rrd4j.core.RrdNioBackend","27,072 B (0%)","423 (0%)"
"net.i2p.router.transport.ntcp.NTCPConnection$OutboundListener","26,624 B (0%)","1,664 (0%)"
"net.i2p.router.transport.ntcp.NTCPConnection$InboundListener","26,624 B (0%)","1,664 (0%)"
"jdk.internal.ref.Cleaner","26,560 B (0%)","664 (0%)"
"org.rrd4j.data.DataProcessor","26,560 B (0%)","332 (0%)"
"sun.java2d.pipe.Region","26,440 B (0%)","661 (0%)"
"net.i2p.router.tunnel.pool.BuildHandler$TunnelBuildNextHopFailJob","26,256 B (0%)","547 (0%)"
"net.i2p.data.Lease","26,048 B (0%)","814 (0%)"
"java.awt.geom.Path2D$Float$CopyIterator","25,984 B (0%)","812 (0%)"
"net.i2p.router.networkdb.kademlia.IterativeLookupSelector","25,696 B (0%)","803 (0%)"
"net.i2p.addressbook.HostChecker$PingTask$1","25,656 B (0%)","1,069 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","25,584 B (0%)","303 (0%)"
"net.i2p.data.i2np.EncryptedBuildRecord[]","24,968 B (0%)","777 (0%)"
"sun.nio.ch.NativeThreadSet","24,720 B (0%)","1,030 (0%)"
"org.eclipse.jetty.server.Request","24,624 B (0%)","171 (0%)"
"net.i2p.router.crypto.ratchet.SingleTagSet","24,616 B (0%)","181 (0%)"
"java.util.regex.Pattern$BmpCharProperty","24,576 B (0%)","1,024 (0%)"
"javax.servlet.http.Cookie","24,480 B (0%)","510 (0%)"
"net.i2p.router.message.OutboundClientMessageOneShotJob$SendTimeoutJob","24,384 B (0%)","508 (0%)"
"net.i2p.client.streaming.impl.ConnectionOptions","24,192 B (0%)","126 (0%)"
"java.io.File","23,904 B (0%)","747 (0%)"
"java.util.HashMap$KeySet","23,792 B (0%)","1,487 (0%)"
"java.lang.reflect.Constructor","23,688 B (0%)","329 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","23,392 B (0%)","731 (0%)"
"java.awt.geom.Rectangle2D$Double","23,376 B (0%)","487 (0%)"
"com.sun.imageio.plugins.png.ChunkStream","23,328 B (0%)","324 (0%)"
"org.eclipse.jetty.http.HttpParser","23,256 B (0%)","171 (0%)"
"java.lang.ref.Finalizer","23,160 B (0%)","579 (0%)"
"com.sun.imageio.plugins.png.PNGImageWriter","23,120 B (0%)","170 (0%)"
"java.lang.invoke.DirectMethodHandle","23,080 B (0%)","577 (0%)"
"java.time.zone.ZoneRules","23,040 B (0%)","576 (0%)"
"java.lang.management.LockInfo","22,944 B (0%)","956 (0%)"
"io.prometheus.metrics.model.snapshots.MetricMetadata","22,784 B (0%)","712 (0%)"
"java.util.regex.Pattern$Curly","22,464 B (0%)","702 (0%)"
"net.metanotion.io.block.index.IBSkipSpan","22,400 B (0%)","280 (0%)"
"net.i2p.router.LeaseSetKeys","22,336 B (0%)","698 (0%)"
"net.i2p.router.util.DecayingBloomFilter$Shutdown","22,304 B (0%)","1,394 (0%)"
"net.i2p.data.i2np.DatabaseLookupMessage","22,240 B (0%)","278 (0%)"
"java.util.stream.ReferencePipeline$Head","21,952 B (0%)","392 (0%)"
"java.util.Arrays$ArrayList","21,936 B (0%)","914 (0%)"
"org.klomp.snark.bencode.BEValue","21,792 B (0%)","1,362 (0%)"
"java.util.stream.ReferencePipeline$2","21,672 B (0%)","387 (0%)"
"sun.security.ssl.CipherSuite","21,632 B (0%)","338 (0%)"
"java.security.Provider$Service","21,376 B (0%)","334 (0%)"
"java.awt.geom.GeneralPath","21,312 B (0%)","666 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","21,200 B (0%)","530 (0%)"
"org.rrd4j.graph.LegendComposer","20,928 B (0%)","327 (0%)"
"java.math.BigInteger","20,920 B (0%)","523 (0%)"
"java.util.jar.JarFile$JarFileEntry","20,904 B (0%)","201 (0%)"
"java.security.Provider$ServiceKey","20,856 B (0%)","869 (0%)"
"java.util.Map$Entry[]","20,840 B (0%)","765 (0%)"
"java.util.regex.Pattern$BnM","20,672 B (0%)","646 (0%)"
"org.eclipse.jetty.io.SelectChannelEndPoint","20,520 B (0%)","171 (0%)"
"java.util.zip.Inflater","20,416 B (0%)","319 (0%)"
"sun.nio.ch.FileChannelImpl$DefaultUnmapper","20,304 B (0%)","423 (0%)"
"org.rrd4j.core.ArcState","20,304 B (0%)","846 (0%)"
"java.util.WeakHashMap$Entry","20,280 B (0%)","507 (0%)"
